g_force,accel_change,road_type,gyro_z_abs,label
0.166056996,0.486524386,Normal,0.237526283,Safe
0.260036052,0.468243148,Normal,0.218137175,Safe
0.297293811,0.450737291,Rough,0.217206061,Safe
0.192084966,0.830516663,Normal,0.390643328,Safe
0.324003435,0.936045483,Rough,1.337038636,Dangerous
0.239725302,0.534840765,Normal,0.24909234,Safe
0.195560674,0.458685719,Normal,0.171840563,Safe
0.761181283,3.577247033,Rough,2.469873428,Dangerous
0.593227167,2.41126388,Rough,2.172530651,Dangerous
1.061694842,5.216963326,Rough,1.709042311,Dangerous
0.499038955,2.31178738,Rough,1.647333384,Dangerous
0.402210137,2.393095557,Rough,0.557922006,Dangerous
0.711790218,4.753993579,Rough,0.824999809,Dangerous
1.724979979,10.75494053,Rough,1.275099635,Dangerous
0.47593851,2.023922203,Rough,0.751560628,Dangerous
0.408976901,2.264664861,Rough,0.631469131,Dangerous
0.590208077,3.508195654,Rough,0.791897357,Dangerous
0.636110732,3.258992797,Rough,0.555826426,Dangerous
0.265537515,1.547766132,Rough,0.859254479,Dangerous
1.048875993,5.520933347,Rough,1.073613048,Dangerous
0.768699915,4.916435728,Rough,0.49347204,Dangerous
1.073153942,5.945202868,Rough,1.499450684,Dangerous
1.2327162,7.090517199,Rough,1.208774328,Dangerous
1.122922307,7.030654131,Rough,1.146934748,Dangerous
0.904193252,5.824725303,Rough,1.055187464,Dangerous
0.742067189,3.655765973,Rough,1.176898241,Dangerous
0.724346796,4.001546419,Rough,1.257119417,Dangerous
0.887966265,4.158036557,Rough,2.312810183,Dangerous
0.785816288,3.96167887,Rough,1.3297894,Dangerous
0.297303302,1.522189502,Rough,1.133990645,Dangerous
0.495678138,1.278574307,Rough,1.397127032,Dangerous
0.391975392,1.055048748,Rough,0.530309021,Dangerous
0.332605541,0.560583912,Rough,0.507252216,Dangerous
0.363656109,1.249260532,Rough,0.699294806,Dangerous
0.554553697,1.998119249,Rough,0.756473422,Dangerous
0.523774163,1.48979682,Rough,0.387454808,Dangerous
0.352247103,0.838684851,Rough,0.786290586,Dangerous
0.292340538,1.68880914,Rough,0.155814141,Dangerous
0.266170638,0.578796066,Rough,0.250084728,Safe
0.40335881,0.6761048,Rough,0.192427441,Safe
0.488743407,1.573335483,Rough,1.73649931,Dangerous
0.309304222,0.520129326,Rough,0.315721065,Safe
0.233337275,0.423348983,Rough,0.266854972,Safe
0.384996649,1.130013653,Rough,0.552463293,Dangerous
0.51167875,1.146562305,Rough,1.08302319,Dangerous
0.668455235,0.989841405,Rough,1.273234963,Dangerous
1.152279187,3.555780201,Rough,1.869107604,Dangerous
0.202891327,0.573335233,Normal,0.238652423,Safe
0.219345711,0.437756944,Normal,0.317159325,Safe
0.309346946,0.912977757,Rough,0.563151896,Dangerous
0.098914263,0.275970631,Normal,0.068349786,Safe
2.130136698,16.91692055,Rough,2.600529671,Dangerous
0.61026162,4.455111286,Rough,1.737707138,Dangerous
0.58984725,3.61377316,Rough,0.795352519,Dangerous
0.824927327,4.890757748,Rough,2.520134211,Dangerous
1.513389961,5.070109485,Rough,2.076286793,Dangerous
2.338008688,9.667022757,Rough,2.007396936,Dangerous
0.743703404,3.365603294,Rough,1.709163904,Dangerous
1.521724932,8.115383779,Rough,2.807486296,Dangerous
0.894088624,1.644684047,Rough,1.7016505,Dangerous
0.558628341,1.665514096,Rough,0.407565296,Dangerous
0.305767245,0.463903728,Rough,0.233453572,Safe
0.278077009,0.735238306,Rough,0.385507405,Safe
0.580638541,1.703433951,Rough,1.158002973,Dangerous
1.186225974,6.164705794,Rough,4.142144203,Dangerous
3.399206147,15.75731187,Rough,6.834274769,Dangerous
1.129866656,2.699832377,Rough,1.641868234,Dangerous
0.565742543,1.047203091,Rough,1.419502139,Dangerous
1.89260633,6.519339919,Rough,1.878155589,Dangerous
0.54781517,1.32225037,Rough,0.458227634,Safe
0.831161711,3.400306349,Rough,3.143543243,Dangerous
0.66855048,3.65067699,Rough,1.366310358,Dangerous
0.765803587,3.180843554,Rough,1.525458336,Dangerous
0.468829361,2.045418852,Rough,3.105617523,Dangerous
0.689185897,2.305872953,Rough,2.105764389,Dangerous
0.575710921,1.085489242,Rough,0.62366569,Dangerous
0.43967355,0.792819697,Rough,0.192318812,Safe
0.526653317,1.184448029,Rough,0.716906428,Dangerous
1.274286032,5.977097198,Rough,1.677295208,Dangerous
0.843230645,2.190244137,Rough,2.598292828,Dangerous
0.077294349,0.222481851,Normal,0.038962822,Safe
0.052225114,0.168714071,Normal,0.035491321,Safe
0.139792373,0.632965112,Normal,0.156751975,Safe
0.106641596,0.36128999,Normal,0.245103791,Safe
0.106999985,0.390446824,Normal,0.539043367,Safe
0.18643287,0.470675345,Normal,0.349453449,Safe
0.090049513,0.209326499,Normal,0.016290294,Safe
0.113644524,0.203431528,Normal,0.02015076,Safe
0.200484935,0.398477785,Normal,0.036497928,Safe
0.165884735,0.374226771,Normal,0.048009537,Safe
0.138637763,0.280582274,Normal,0.044126399,Safe
0.136442438,0.234780451,Normal,0.046690986,Safe
0.287098455,0.51791584,Normal,0.044205494,Safe
0.432978195,0.978628356,Rough,0.082770407,Safe
0.26028537,0.497925772,Rough,0.041415777,Safe
0.190915476,0.578417774,Normal,0.073059641,Safe
0.211777294,0.886862864,Normal,0.076130189,Safe
0.547947549,1.531122386,Rough,0.215111867,Dangerous
0.267639539,0.769050686,Rough,0.064895242,Safe
0.339129404,1.20557411,Rough,0.070517957,Safe
0.320350312,0.986422474,Rough,0.101214796,Safe
0.355870377,1.582500853,Rough,0.059801381,Dangerous
0.254736249,0.496840842,Rough,0.011748989,Safe
0.365106504,0.652672374,Rough,0.135256201,Safe
0.285634309,1.239678301,Rough,0.044360541,Safe
0.772970581,2.126747442,Rough,0.104813479,Dangerous
0.231415509,0.571081984,Normal,0.022955231,Safe
0.261211435,0.975392941,Rough,0.030205796,Safe
0.460282774,1.733720354,Rough,0.081185408,Dangerous
0.556923758,1.374969682,Rough,0.134145245,Safe
0.596866997,2.203531897,Rough,0.147881642,Dangerous
0.560155273,2.218846072,Rough,0.174835667,Dangerous
0.587814515,1.570352712,Rough,0.146928325,Dangerous
0.476575778,1.18702987,Rough,0.098464645,Safe
0.677429362,2.317410896,Rough,0.185669124,Dangerous
0.995065538,4.426272288,Rough,0.275355518,Dangerous
0.338801031,0.704583264,Normal,0.070226088,Safe
0.245598901,0.238466175,Normal,0.044903036,Safe
0.175770031,0.366487053,Normal,0.035129085,Safe
0.237641087,0.285366366,Rough,0.050645947,Safe
0.224929463,0.540116718,Rough,0.072206512,Safe
0.174299687,0.163760141,Normal,0.051875658,Safe
0.557119615,0.864488646,Rough,2.654731512,Dangerous
0.528843939,2.557331847,Rough,0.553664207,Dangerous
0.186328278,0.271724759,Normal,0.046819579,Safe
0.145117059,0.441985239,Normal,0.016284971,Safe
0.267757243,0.487363604,Rough,0.088216409,Safe
0.225381895,0.546918156,Normal,0.04942226,Safe
0.197416262,0.460209792,Normal,0.046163071,Safe
0.214730522,0.839663024,Normal,0.119459249,Safe
0.220687059,0.746095827,Normal,0.081937388,Safe
0.496380334,2.257670884,Rough,0.101132259,Dangerous
0.204180921,0.836017953,Normal,0.109817296,Safe
0.509935429,1.528725323,Rough,0.098221041,Dangerous
0.50492631,2.185276361,Rough,0.081125714,Dangerous
0.253826753,0.983883411,Rough,0.070517369,Safe
0.345726032,1.101317659,Rough,0.181055099,Safe
0.595122211,1.534175864,Rough,0.192539647,Dangerous
0.247004086,0.878603572,Normal,0.052214164,Safe
0.3454284,1.289825899,Rough,0.083829053,Safe
0.324750462,0.819571611,Rough,0.000305556,Safe
0.66560278,2.150839363,Rough,0.109929308,Dangerous
0.847061999,2.844491225,Rough,0.197149888,Dangerous
0.475400257,2.004522174,Rough,0.159524411,Dangerous
0.371594044,0.892680233,Rough,0.084909655,Safe
0.540808805,1.77379452,Rough,0.172604486,Dangerous
0.315095661,1.101015493,Rough,0.040852454,Safe
0.547623376,2.422759442,Rough,0.08832214,Dangerous
0.422879016,1.04366606,Rough,0.197075903,Safe
0.558750181,1.398373872,Rough,0.200121894,Safe
0.453226739,1.800366928,Rough,0.102600515,Dangerous
0.257374721,0.59174041,Normal,0.057728279,Safe
0.205210996,0.946355576,Normal,0.091398448,Safe
0.142514892,0.473908838,Normal,0.068351895,Safe
0.49182375,1.842079934,Rough,0.105496198,Dangerous
0.420075522,0.749940294,Rough,0.085760266,Safe
0.358361515,0.720749669,Normal,0.060270377,Safe
0.186572751,0.549126231,Normal,0.067538023,Safe
0.259841867,0.707879698,Rough,0.083165266,Safe
0.284927906,0.772808861,Rough,0.116576627,Safe
0.223976971,1.06451242,Normal,0.07315851,Safe
0.200953747,0.624293751,Rough,0.071093492,Safe
0.367243858,1.156310032,Rough,0.095889807,Safe
0.583393012,1.63242187,Rough,0.152312219,Dangerous
0.35021671,0.863243457,Rough,0.052339472,Safe
0.35635528,0.84046506,Rough,0.124706902,Safe
0.68060742,2.041144428,Rough,0.440309286,Dangerous
0.20072182,0.369091504,Normal,0.15106678,Safe
0.258492829,0.570481297,Rough,0.158043414,Safe
0.17504199,0.425134762,Normal,0.039812095,Safe
0.15679956,0.400740577,Normal,0.116804682,Safe
0.359998634,1.047773256,Rough,0.153991297,Safe
0.343305278,0.262418668,Normal,0.073475048,Safe
0.358988258,0.178744528,Normal,0.038208127,Safe
0.282419413,0.223605601,Rough,0.052186213,Safe
0.125000977,0.126150959,Normal,0.077607214,Safe
0.053059656,0.139903031,Normal,0.017718095,Safe
0.044404519,0.147101418,Normal,0.013958346,Safe
0.118394084,0.447700054,Normal,0.355114788,Safe
0.053525382,0.18004567,Normal,0.0153603,Safe
0.057788451,0.221872038,Normal,0.017600745,Safe
0.052869854,0.218495641,Normal,0.019974696,Safe
0.073517696,0.393677618,Normal,0.02294527,Safe
0.03361886,0.140203043,Normal,0.012767834,Safe
0.035511014,0.10401868,Normal,0.011608257,Safe
0.065202416,0.173945769,Normal,0.017270438,Safe
0.037989667,0.173111308,Normal,0.021979995,Safe
0.05336101,0.164827072,Normal,0.047335237,Safe
0.062078647,0.352897183,Normal,0.023893163,Safe
0.032893339,0.147077299,Normal,0.017799303,Safe
0.030772865,0.092436763,Normal,0.017647723,Safe
0.030820959,0.13427826,Normal,0.009936176,Safe
0.059717856,0.205615555,Normal,0.018266363,Safe
0.036460731,0.138702475,Normal,0.015994361,Safe
0.027954703,0.108002233,Normal,0.009577305,Safe
0.057387875,0.190226299,Normal,0.021712044,Safe
0.027111188,0.128356683,Normal,0.010322905,Safe
0.026528765,0.108282856,Normal,0.014464932,Safe
0.03023558,0.161783778,Normal,0.011043231,Safe
0.026741354,0.131496276,Normal,0.011986933,Safe
0.043926233,0.109225617,Normal,0.011988924,Safe
0.028123454,0.116129206,Normal,0.011136383,Safe
0.032260735,0.118749052,Normal,0.012390642,Safe
0.072106859,0.305106847,Normal,0.345716685,Safe
1.1616737,7.241256116,Rough,1.393329024,Dangerous
0.772002906,2.723265514,Rough,1.438218951,Dangerous
0.482774818,2.483013756,Rough,1.714948535,Dangerous
0.267173366,0.896077503,Rough,1.325197458,Dangerous
0.279724807,2.180497157,Normal,0.405597776,Dangerous
0.106127775,0.194546903,Normal,0.353132516,Safe
0.149176184,0.405825732,Normal,0.358163893,Safe
0.066011359,0.165579155,Normal,0.299884796,Safe
0.121156209,0.450901911,Normal,0.316054672,Safe
0.325384868,0.842012572,Rough,0.761993468,Dangerous
0.599302561,2.828514501,Rough,0.809932232,Dangerous
0.593588132,1.584898564,Rough,2.006182432,Dangerous
1.118454359,3.656460411,Rough,3.709954262,Dangerous
1.316922293,6.741856235,Rough,0.688456774,Dangerous
0.052761941,0.154900126,Normal,0.037252624,Safe
0.06069223,0.221187566,Normal,0.055811089,Safe
0.078921332,0.132065801,Normal,0.050775163,Safe
0.114412903,0.122212751,Normal,0.030198338,Safe
0.036215926,0.12352388,Normal,0.013758826,Safe
0.035492236,0.280695369,Normal,0.013432704,Safe
0.023609747,0.142560184,Normal,0.009556257,Safe
0.026045819,0.194763408,Normal,0.013148083,Safe
0.024246012,0.132450301,Normal,0.012625908,Safe
0.046020951,0.128160315,Normal,0.022992432,Safe
0.039362547,0.24505963,Normal,0.021467628,Safe
0.025502263,0.098384296,Normal,0.020075753,Safe
0.030033209,0.164354231,Normal,0.025667578,Safe
0.032270093,0.128719163,Normal,0.029110763,Safe
0.023348039,0.119605723,Normal,0.018496979,Safe
0.019362792,0.128542641,Normal,0.013829509,Safe
0.021519961,0.13018803,Normal,0.014097991,Safe
